numero,fecha_dl,nop,litros,rcs,mc
1151,27/05/08,7,"4,2",136,1
1163,14/10/09,8,,,0
1371,21/08/09,7,,,0
1385,13/01/10,7,"16,6",90,1
2006,24/02/10,8,"19,8",614,1
2023,13/02/10,7,"27,2",211,1
2033,29/03/09,6,25,72,1
2063,05/11/09,7,18,2104,1
2066,01/03/09,8,,,0
2069,07/05/09,6,"14,2",96,1
2092,23/07/08,7,"7,2",186,1
2094,18/04/09,7,"16,2",1559,1
2114,27/02/09,7,"6,6",1440,1
2127,21/04/09,5,"12,4",174,1
2134,17/05/09,6,,,0
2135,08/05/09,6,11,187,1
2159,03/12/08,6,"4,2",485,1
2160,19/11/09,5,"31,6",225,1
2166,05/06/09,6,"18,4",422,1
2195,30/04/09,5,"15,8",371,1
2200,12/12/09,8,32,199,1
2221,13/05/09,7,"16,4",1352,1
2224,19/12/09,6,33,12,1
2227,09/04/09,5,,,0
2235,15/12/08,6,"21,8",386,1
2243,29/04/09,6,"15,8",65,1
2255,06/04/08,5,,,0
2258,02/03/10,7,"11,4",,0
2341,10/04/09,6,"13,6",548,1
2347,24/07/08,5,"17,6",250,1
2357,05/07/09,6,"10,6",1392,1
2361,01/05/08,5,,,0
2372,23/04/09,6,,,0
2381,31/05/09,4,"19,6",70,1
2385,21/02/10,5,,,0
2413,13/12/08,5,"13,4",320,1
2431,27/09/09,6,"35,4",178,1
2439,23/02/08,2,"6,8",501,1
2444,21/02/08,4,"20,8",910,1
2447,21/06/09,4,"25,8",42,1
2454,11/05/09,5,"17,4",10,1
2460,18/03/09,4,"19,2",95,1
2462,24/08/08,3,13,402,1
2478,13/12/08,5,"2,2",,0
2492,19/06/09,4,"21,8",78,1
2509,14/08/08,4,"20,2",,0
2510,03/05/09,5,9,220,1
2511,16/04/09,5,14,47,1
2515,03/04/09,5,"18,4",76,1
2539,22/05/08,4,"6,2",339,1
2541,09/07/09,4,26,67,1
2547,08/05/09,5,,,0
2571,15/02/10,6,"12,2",53,1
2576,21/09/09,5,,,0
2589,05/01/10,5,,,0
2594,10/01/10,4,12,151,1
2598,10/01/10,5,"29,6",51,1
2604,09/04/09,5,"9,8",703,1
2605,27/02/09,4,"15,4",111,1
2611,24/11/09,5,"24,8",617,1
2614,11/05/09,5,,,0
2618,18/10/09,5,"27,4",8,1
2620,18/05/09,4,"22,6",88,1
2629,06/03/09,4,"14,6",2267,1
2642,21/06/09,4,"18,4",116,1
2644,08/01/10,5,,,0
2650,03/07/08,4,"4,8",483,1
2668,02/03/09,4,"16,6",105,1
2674,29/09/09,4,"9,6",969,1
2676,14/07/08,3,"12,6",141,1
2679,09/08/09,5,"27,8",2458,1
2684,01/03/09,4,21,206,1
2691,12/02/09,3,"17,6",96,1
2693,21/08/09,5,"27,6",112,1
2694,04/07/09,4,"24,4",68,1
2696,17/08/09,5,25,561,1
2697,19/01/10,4,"33,2",162,1
2699,05/12/09,4,,,0
2701,08/07/08,4,"7,6",41,1
2708,16/12/09,5,,,0
2709,02/04/08,3,2,,0
2715,07/05/09,4,"12,2",8,1
2716,02/07/09,4,,,0
2725,06/10/09,4,,,0
2730,24/01/08,2,"10,6",149,1
2743,23/06/09,4,,,0
2744,11/01/10,3,"13,2",162,1
2745,26/12/09,4,34,99,1
2748,20/05/09,4,"24,6",219,1
2758,06/06/09,3,"24,4",87,1
2762,12/04/09,2,,,0
2766,09/08/09,4,"16,4",37,1
2771,30/01/10,5,"30,8",298,1
2774,23/02/10,5,"19,8",631,1
2780,17/12/09,4,"24,4",135,1
2782,19/08/09,4,"32,8",37,1
2784,04/08/09,5,"25,4",200,1
2786,25/02/10,5,,,0
2791,01/10/09,4,"20,6",119,1
2800,14/10/08,3,"10,4",953,1
2802,01/08/09,4,"25,6",1087,1
2803,29/07/09,4,"21,2",70,1
2805,12/06/09,3,,,0
2815,25/03/09,4,"2,8",,0
2823,02/03/09,3,"19,4",51,1
2831,18/11/09,3,,,0
2833,23/03/09,3,,,0
2835,08/04/09,3,"5,6",670,1
2843,20/12/09,3,27,113,1
2844,21/12/09,3,"32,6",114,1
2847,05/10/09,4,"28,6",88,1
2850,20/09/09,4,"19,2",13,1
2855,10/12/08,3,,,0
2857,27/02/09,4,,,0
2865,17/07/09,4,"27,2",83,1
2866,17/02/08,2,2,,0
2867,28/12/09,3,,,0
2875,22/08/09,4,23,446,1
2877,12/10/09,4,"37,8",1494,1
2882,29/07/08,3,"9,6",268,1
2890,04/03/10,4,18,318,1
2892,03/06/09,4,"20,6",85,1
2900,31/08/09,4,"30,6",216,1
2910,17/07/08,3,"11,4",126,1
2916,12/03/09,3,,,0
2922,22/04/09,3,4,73,1
2933,06/12/09,4,"26,6",424,1
2942,08/05/09,3,"17,4",55,1
2946,20/04/08,2,"12,2",47,1
2948,22/07/09,3,"26,2",44,1
2953,05/12/09,3,16,1012,1
2955,06/12/09,3,,,0
2957,19/06/09,3,11,259,1
2965,09/10/09,4,,,0
2967,11/11/09,4,"34,2",15,1
2968,24/07/09,4,"21,6",125,1
2971,29/05/09,3,"12,6",278,1
2974,29/05/09,3,25,128,1
2976,01/11/09,3,"31,2",81,1
2978,27/10/09,4,,,0
2980,07/05/09,3,"16,8",78,1
2981,01/10/09,3,"27,8",33,1
2987,07/10/09,3,27,57,1
2991,04/04/09,3,"16,2",36,1
2998,03/05/09,3,"23,8",362,1
3001,16/04/09,3,"16,4",39,1
3003,29/03/09,3,10,161,1
3005,15/09/09,4,"9,6",372,1
3009,21/05/09,3,"18,6",391,1
3010,19/10/09,3,24,12,1
3011,17/07/09,3,"21,6",12,1
3018,28/06/09,3,12,63,1
3020,30/06/09,3,"28,8",5,1
3025,14/04/09,2,"14,4",987,1
3027,24/06/09,2,"16,8",2,1
3032,24/05/09,3,,,0
3036,05/01/10,3,"23,8",84,1
3038,11/09/09,3,"22,2",43,1
3041,24/06/09,3,"17,8",54,1
3043,01/04/08,1,,,0
3047,28/09/09,3,"26,6",125,1
3048,08/01/10,3,"32,2",1110,1
3049,18/02/10,3,"23,8",111,1
3050,03/03/10,3,,,0
3052,26/08/09,3,22,46,1
3062,12/05/09,3,"8,2",472,1
3068,05/06/09,2,21,4,1
3069,16/06/09,2,"27,4",76,1
3071,07/02/10,3,"18,6",41,1
3077,23/07/09,3,14,3,1
3079,16/04/09,2,"24,4",15,1
3081,25/09/09,3,,,0
3083,27/06/08,2,"10,4",116,1
3092,10/09/08,2,11,75,1
3093,16/07/08,2,"15,6",125,1
3095,05/06/09,2,"19,2",113,1
3096,21/01/10,3,"16,8",8,1
3101,24/06/09,3,"21,6",4,1
3118,01/01/10,3,"27,8",38,1
3121,19/08/09,2,"27,4",1066,1
3126,20/11/09,3,,,0
3136,21/08/09,2,"30,2",45,1
3140,11/07/08,2,"8,2",282,1
3148,19/10/09,3,36,36,1
3149,13/10/09,2,"19,6",10,1
3150,28/06/09,2,"18,4",98,1
3157,14/08/09,3,"20,8",83,1
3158,20/10/09,2,"22,4",48,1
3160,05/02/10,3,"19,2",12,1
3161,23/10/09,3,30,361,1
3166,12/04/08,1,"4,2",142,1
3167,09/05/09,2,"17,6",400,1
3171,08/05/09,2,2,,0
3172,06/06/09,2,"17,6",1046,1
3176,01/01/10,2,"20,6",258,1
3177,30/09/09,3,"30,6",12,1
3181,06/02/10,2,"39,8",185,1
3183,21/09/09,2,"30,4",101,1
3184,29/06/09,2,"19,2",43,1
3188,05/07/09,2,"25,6",43,1
3195,03/05/09,1,17,4,1
3196,27/06/09,2,,,0
3199,29/09/09,2,"21,6",111,1
3201,24/05/09,2,"15,2",4,1
3208,23/04/09,2,,,0
3212,12/10/09,2,"31,8",74,1
3221,06/05/09,2,"27,4",136,1
3230,10/01/10,3,12,96,1
3232,11/05/09,2,"23,6",142,1
3234,20/06/09,2,,,0
3235,01/01/10,3,"23,2",98,1
3237,05/07/08,1,"5,6",199,1
3242,19/07/08,2,"9,8",103,1
3245,10/02/10,3,"16,6",72,1
3247,07/05/09,2,"15,2",116,1
3249,20/05/09,2,"21,6",111,1
3250,13/04/08,1,,,0
3253,26/06/09,2,,,0
3257,09/05/09,2,"20,8",45,1
3258,03/04/08,1,6,118,1
3259,29/04/08,1,"9,6",116,1
3264,18/01/10,3,"31,4",513,1
3269,01/10/09,2,"28,2",329,1
3270,05/09/09,2,"16,4",451,1
3272,11/11/09,2,"30,4",88,1
3276,17/03/10,3,"18,4",73,1
3277,28/12/09,2,30,4,1
3280,19/04/09,2,"17,6",46,1
3284,16/09/09,2,"21,6",2403,1
3285,10/12/08,1,"9,2",73,1
3297,09/08/09,2,"16,2",73,1
3299,30/11/09,2,"31,8",93,1
3301,23/09/08,1,"2,4",263,1
3307,21/11/09,2,"21,4",100,1
3311,19/09/09,1,"12,8",255,1
3313,26/04/09,1,12,56,1
3315,24/12/09,2,"22,6",36,1
3321,02/09/09,2,"27,6",10,1
3322,19/12/09,2,38,21,1
3325,14/12/09,2,"26,8",45,1
3329,17/10/09,2,,,0
3333,05/09/09,2,"25,8",36,1
3337,23/09/08,1,,,0
3339,03/12/08,1,"12,8",547,1
3340,18/12/09,2,"18,6",74,1
3341,05/12/09,2,"31,4",117,1
3343,25/09/08,1,"13,8",36,1
3344,17/10/08,1,,,0
3348,02/12/08,1,"10,6",64,1
3350,17/02/10,2,"32,2",9,1
3351,15/09/08,1,"12,6",88,1
3352,01/01/10,2,"28,2",2,1
3358,02/10/09,2,,,0
3360,13/11/09,2,"22,8",147,1
3361,19/07/09,1,"18,6",267,1
3364,21/09/08,1,"13,2",240,1
3365,03/09/08,1,"15,6",5,1
3366,20/11/09,1,"20,2",138,1
3367,12/12/09,2,"18,8",124,1
3368,28/09/08,1,20,169,1
3369,27/03/09,1,"15,8",42,1
3372,26/11/09,2,"26,2",156,1
3373,20/04/09,1,"18,4",42,1
3374,06/05/09,1,,,0
3375,28/10/09,2,2,,0
3377,21/03/10,2,"21,6",51,1
3379,08/11/08,1,"16,2",362,1
3380,27/03/09,1,"16,4",6,1
3381,14/11/09,2,"25,2",188,1
3384,06/02/10,2,23,298,1
3387,09/12/09,1,"24,6",5,1
3392,26/03/09,1,,,0
3393,11/03/09,1,"14,8",58,1
3398,02/07/09,1,25,12,1
3400,31/03/09,1,"15,6",59,1
3401,14/03/09,1,,,0
3403,13/03/09,1,"23,2",7,1
3419,18/03/09,1,"17,6",12,1
3425,17/10/08,1,"18,6",122,1
3427,27/03/09,1,"15,4",990,1
3434,05/01/10,1,"11,4",335,1
3435,03/04/09,1,"7,6",94,1
3443,22/03/09,1,"18,8",94,1
3445,21/03/09,1,"18,8",12,1
3448,29/05/09,1,13,23,1
3449,27/08/09,1,"25,6",193,1
3450,09/04/09,1,"10,8",75,1
3452,26/08/09,1,25,96,1
3455,19/03/09,1,"13,6",46,1
3458,08/04/09,1,,,0
3460,02/04/09,1,"17,8",236,1
3467,10/07/09,1,24,34,1
3468,24/05/09,1,"19,6",1694,1
3472,19/09/09,1,"18,4",8,1
3474,17/10/09,1,"24,6",10,1
3476,21/07/09,1,"18,4",203,1
3479,27/03/09,1,18,593,1
3483,08/08/09,1,"19,2",547,1
3493,16/04/09,1,12,231,1
3494,14/10/09,1,2,,0
3497,03/10/09,1,23,124,1
3498,23/03/09,1,"13,2",92,1
3500,17/03/09,1,"10,8",42,1
3501,24/09/09,1,,,0
3502,04/04/09,1,"15,8",65,1
3505,02/07/09,1,"22,2",74,1
3508,27/03/09,1,22,76,1
3510,14/02/10,2,"21,4",244,1
3511,21/07/09,1,"18,4",74,1
3512,29/03/09,1,"18,2",45,1
3516,09/04/09,1,"22,6",288,1
3517,07/04/09,1,,,0
3519,05/09/09,1,"24,6",691,1
3520,23/06/09,1,"19,6",68,1
3521,12/09/09,1,"28,6",229,1
3522,02/04/09,1,"13,2",26,1
3524,01/01/10,1,"23,6",310,1
3525,20/07/09,1,15,161,1
3526,01/01/10,1,,,0
3527,10/07/09,1,,,0
3528,12/07/09,1,"18,6",40,1
3529,18/07/09,1,"14,4",36,1
3530,28/09/09,1,"18,2",48,1
3537,26/11/09,1,"19,4",12,1
3538,26/08/09,1,"24,2",125,1
3539,06/04/09,1,"15,2",106,1
3542,18/08/09,1,,,0
3544,26/08/09,1,"12,4",106,1
3545,26/08/09,1,"19,6",653,1
3548,28/09/09,1,"20,8",657,1
3549,19/06/09,1,13,44,1
3550,01/08/09,1,"18,6",335,1
3551,14/11/09,1,"19,4",123,1
3554,24/07/09,1,"23,8",1885,1
3556,21/07/09,1,,,0
3559,17/08/09,1,"18,6",3,1
3589,04/10/09,1,,,0
3649,02/10/09,1,,,0
a2441,14/02/07,5,"9,2",64,1
A2446,24/04/09,3,13,77,1
